label,text
spam,"Your account is suspended. Verify immediately at bit.ly/xyz to avoid permanent block"
spam,"URGENT: Your bank account will be locked in 24 hours. Verify now at bit.ly/secure-bank"
spam,"Dear customer your KYC is pending, update immediately or your account will be blocked. Click http://kyc-update.in"
spam,"Your SBI account has been temporarily suspended. Re-verify your details at sbi-verify.com within 24 hrs"
spam,"ALERT: Unusual activity detected on your account. Confirm your identity now at secure-login.net"
spam,"Your parcel could not be delivered due to unpaid customs fee of Rs 49. Pay now at track-delivery.co/pay"
spam,"Dear user your electricity bill is overdue. Your connection will be disconnected today. Pay now at billpay-now.in"
spam,"Congratulations you have been selected for a govt cashback of Rs 5000. Claim now at gov-cashback.in"
spam,"Your PAN card is linked to suspicious activity. Verify at income-tax-refund.co to avoid penalty"
spam,"Your credit card has been blocked due to KYC non-compliance. Update now at bank-kyc-update.com"
spam,"Dear customer, your UPI ID will expire today. Re-register immediately at upi-secure.in"
spam,"Your Netflix subscription payment failed. Update your card details at netflix-billing-update.com"
spam,"You have won an iPhone 15 in our lucky draw. Claim your prize now at winner-claim.co"
spam,"Your Amazon order is on hold due to a payment issue. Confirm your card at amazon-pay-verify.com"
spam,"Job Alert: Work from home and earn Rs 5000 daily. Register now at earn-daily.in, limited seats"
spam,"Your loan of Rs 50000 has been pre-approved. Click here to claim instantly: loan-approved.co/claim"
spam,"Digital arrest notice: Your Aadhaar is linked to illegal activity. Contact immediately or face legal action at verify-aadhaar.in"
spam,"Your income tax refund of Rs 15,750 is ready. Verify your bank details at itr-refund-gov.in to receive it"
spam,"Your WhatsApp will be deactivated today due to policy violation. Verify at whatsapp-verify-account.com"
spam,"FINAL NOTICE: Your electricity will be cut off within 2 hours. Pay immediately at eb-payment-now.co"
spam,"Your debit card is temporarily blocked. Share OTP to unblock immediately, call 1800-XXX-XXXX"
spam,"Your account will be permanently closed today unless you verify your PAN and Aadhaar at bank-safety.in"
spam,"Dear user, click here to update your address for uninterrupted delivery: courier-redelivery.co"
spam,"Your Google Pay account has unusual login activity, secure it now at gpay-account-secure.com"
spam,"Congratulations! Your mobile number won Rs 25 lakh in KBC lottery. Contact WhatsApp +91XXXXXXXXXX to claim"
spam,"Your health insurance policy is about to lapse. Renew immediately at insure-renew-now.in to avoid loss of cover"
spam,"Dear student, your scholarship of Rs 25000 is approved. Submit your bank details at scholarship-fund.co"
spam,"Your Flipkart order was returned due to incorrect address. Update it now at flipkart-redeliver.com"
spam,"RBI Alert: Your account is under review for suspicious transactions. Verify now to avoid freeze at rbi-verify.in"
spam,"Your SIM card will be deactivated tonight due to incomplete verification. Verify now at sim-reverify.co"
spam,"You have an unclaimed refund of Rs 2,340 from your recent purchase. Claim it now at refund-center.in"
spam,"Your PF withdrawal request needs urgent verification. Click epfo-verify-claim.co to avoid rejection"
spam,"Dear customer your credit score has dropped. Check and fix it immediately at cibil-score-check.in"
spam,"Your bank has flagged your account for fraud. Call this number immediately to avoid suspension: +91XXXXXXXXXX"
spam,"Your online exam result is ready. Pay processing fee of Rs 199 to download your certificate at result-portal.co"
spam,"Your car insurance is expiring today. Renew now for a discount at insure-quick-renew.in"
spam,"Last chance: Your festival cashback of Rs 1500 expires tonight. Redeem now at cashback-claim.co"
spam,"Dear customer, your mobile recharge failed. Retry payment now at recharge-fix.in to avoid service loss"
spam,"Your Aadhaar linked bank account will be frozen. Update your KYC today at aadhaar-bank-link.co"
spam,"You are selected for a free trip to Dubai. Confirm your seat now at free-trip-claim.in"
spam,"Your electricity meter reading shows arrears. Pay Rs 899 now to avoid disconnection at eb-arrears-pay.co"
ham,"Hey are we still meeting for lunch today?"
ham,"Your OTP for login is 482913. Do not share this with anyone."
ham,"Reminder: your dentist appointment is tomorrow at 10 AM"
ham,"Mom I'll be home by 8, don't wait for dinner"
ham,"Your Swiggy order has been delivered. Enjoy your meal!"
ham,"Meeting shifted to 3 PM, conference room B"
ham,"Happy birthday! Hope you have a great day"
ham,"Can you send me the notes from today's class?"
ham,"Your electricity bill of Rs 1240 has been paid successfully"
ham,"Flight AI202 is delayed by 45 minutes, new departure 6:45 PM"
ham,"Don't forget to bring your laptop charger tomorrow"
ham,"Your prescription is ready for pickup at the pharmacy"
ham,"Thanks for the help today, really appreciate it"
ham,"Bro let's play tonight after 9, same server"
ham,"Your Amazon package will be delivered today between 2-6 PM"
ham,"Table for two is confirmed at 7:30 PM tonight"
ham,"Interview scheduled for Monday 11 AM, please carry your resume"
ham,"Your fee payment for this semester has been received, thank you"
ham,"See you at the gym at 6 tomorrow morning"
ham,"Your cab is arriving in 3 minutes, driver Ramesh, white Swift"
ham,"Can we reschedule our call to 5 PM instead?"
ham,"Congrats on the new job! So happy for you"
ham,"Please review the assignment I sent, deadline is Friday"
ham,"Your recharge of Rs 199 was successful, valid till next month"
ham,"Let's catch up this weekend, it's been a while"
